STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
997338,99999, 20050423,   36.8,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  31.6,23,  40.0, 999.9,   42.4*,  34.5*, 0.00I,999.9, 000000,
997338,99999, 20050424,   36.1, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  24.7, 4,  26.0, 999.9,   36.9*,  35.2*, 0.00I,999.9, 000000,
997338,99999, 20050425,   60.4, 8, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  21.0, 8,  28.0, 999.9,   62.4*,  56.1*, 0.00I,999.9, 000000,
997338,99999, 20050426,   50.7,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  15.9,23,  27.0, 999.9,   60.8*,  46.0*, 0.00I,999.9, 000000,
997338,99999, 20050427,   46.1,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  17.1,23,  23.9, 999.9,   53.1*,  41.7*, 0.00I,999.9, 000000,
997338,99999, 20050428,   44.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.2,24,  23.9, 999.9,   52.5*,  41.0*, 0.00I,999.9, 000000,
997338,99999, 20050429,   42.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.1,24,  14.0, 999.9,   44.1*,  41.5*, 0.00I,999.9, 000000,
997338,99999, 20050430,   45.9,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.3,24,  15.0, 999.9,   50.5*,  43.3*, 0.00I,999.9, 000000,
997338,99999, 20050501,   45.5,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  15.9,23,  26.0, 999.9,   51.3*,  41.4*, 0.00I,999.9, 000000,
997338,99999, 20050502,   41.0,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  16.8,24,  22.0, 999.9,   45.0*,  37.2*, 0.00I,999.9, 000000,
997338,99999, 20050503,   39.1,20, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.3,20,  14.0, 999.9,   42.4*,  37.0*, 0.00I,999.9, 000000,
997338,99999, 20050504,   47.9,12, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  13.8,12,  18.1, 999.9,   50.2*,  43.2*, 0.00I,999.9, 000000,
997338,99999, 20050505,   49.7,21, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  13.4,21,  20.0, 999.9,   56.1*,  46.4*, 0.00I,999.9, 000000,
997338,99999, 20050506,   60.2,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  15.8,24,  21.0, 999.9,   71.4*,  50.5*, 0.00I,999.9, 000000,
997338,99999, 20050507,   52.5,22, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  12.6,22,  16.9, 999.9,   70.9*,  40.5*, 0.00I,999.9, 000000,
997338,99999, 20050508,   54.6,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.0,24,  22.9, 999.9,   71.1*,  41.2*, 0.00I,999.9, 000000,
997338,99999, 20050509,   66.8,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  17.9,24,  28.0, 999.9,   72.1*,  58.8*, 0.00I,999.9, 000000,
997338,99999, 20050510,   68.8,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  17.9,24,  23.9, 999.9,   79.5*,  62.2*, 0.00I,999.9, 000000,
997338,99999, 20050511,   53.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  15.2,24,  33.0, 999.9,   78.6*,  42.8*, 0.00I,999.9, 000000,
997338,99999, 20050512,   43.5,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  21.4,24,  29.9, 999.9,   46.8*,  41.9*, 0.00I,999.9, 000000,
997338,99999, 20050513,   48.6,22, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.9,22,  21.0, 999.9,   53.8*,  46.9*, 0.00I,999.9, 000000,
997338,99999, 20050514,   57.5,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  14.6,24,  33.0, 999.9,   62.8*,  50.5*, 0.00I,999.9, 000000,
997338,99999, 20050515,   48.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  14.0,24,  28.9, 999.9,   53.1*,  45.5*, 0.00I,999.9, 000000,
997338,99999, 20050516,   47.5,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   8.8,24,  16.9, 999.9,   51.1*,  44.2*, 0.00I,999.9, 000000,
997338,99999, 20050517,   50.8,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  12.9,24,  18.1, 999.9,   59.4*,  47.5*, 0.00I,999.9, 000000,
997338,99999, 20050518,   56.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  15.3,24,  22.9, 999.9,   61.5*,  52.2*, 0.00I,999.9, 000000,
997338,99999, 20050519,   55.7,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  14.2,24,  23.9, 999.9,   62.1*,  51.6*, 0.00I,999.9, 000000,
997338,99999, 20050520,   49.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  15.3,24,  20.0, 999.9,   51.6*,  47.7*, 0.00I,999.9, 000000,
997338,99999, 20050521,   55.0,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.7,24,  16.9, 999.9,   65.3*,  49.6*, 0.00I,999.9, 000000,
997338,99999, 20050522,   65.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  13.0,24,  25.1, 999.9,   76.6*,  55.6*, 0.00I,999.9, 000000,
997338,99999, 20050523,   61.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  14.7,24,  25.1, 999.9,   72.1*,  48.9*, 0.00I,999.9, 000000,
997338,99999, 20050524,   49.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  13.5,24,  18.1, 999.9,   51.4*,  47.5*, 0.00I,999.9, 000000,
997338,99999, 20050525,   51.1,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.4,24,  15.9, 999.9,   54.3*,  49.3*, 0.00I,999.9, 000000,
997338,99999, 20050526,   56.7,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.2,24,  14.0, 999.9,   61.7*,  51.4*, 0.00I,999.9, 000000,
